Primer	Strategy	Color(s)	Deck Name	List	Commander(s)	Description	CI#	Discord	Curator(s)
	1	Mono-Blue (U)	Paradox Arcum	https://tappedout.net/mtg-decks/03-02-17-paradox-arcum/	Arcum Dagsson	An all-in fast combo list which chains Arcum's ability using Paradox/Flute.	2		Sigi, BigLupu, Monkeryz
	3	Mono-Blue (U)	Baral Control	https://tappedout.net/mtg-decks/baral-draw-go-2/	Baral, Chief of Compliance	A blue control deck that runs a high density of counterspells and instant-speed draw.	2	https://discord.gg/UQbRkHz	asm, Sigi, maynardferguson, trestian
	1	Mono-Blue (U)	High Tide Jace	https://tappedout.net/mtg-decks/03-04-16-high-tide/	Jace, Vryn's Prodigy	A storm deck which uses Jace to filter cards and recur on High Tide turns.	2	https://discord.gg/VhwSnvY	Shaper, asm, Sugandaraja
X	2	Mono-Blue (U)	Teferi Chain Veil	https://tappedout.net/mtg-decks/chain-veil-teferi/	Teferi, Temporal Archmage	A potent midrange deck which slows others down with stax while making big mana.	2	https://discord.gg/3Y6CDyf	neosloth, Sigi, Mori
X	1	Mono-Black (B)	Buried Alive Razaketh Sidisi	https://tappedout.net/mtg-decks/buried-alive-sidisi/	Sidisi, Undead Vizier	A fast Razaketh reanimator combo deck with Ad Nauseam as a secondary plan.	3	https://discord.gg/abTZ8rT	soos
X	1	Mono-Black (B)	Sidisi Ad Naus Fishbowl	https://tappedout.net/mtg-decks/sidisis-reign-of-filth/	Sidisi, Undead Vizier	Turbo-Ad Nauseam list which is capable of explosively fast storm wins.	3	https://discord.gg/abTZ8rT	asm, Monkeryz, Sugandaraja
X	1	Mono-Red (R)	Godo Helm	https://tappedout.net/mtg-decks/waiting-for-godo-cedh-primer/	Godo, Bandit Warlord	A mono-red ramp list which assembles an infinite combo off of only its commander.	4	https://discord.gg/HWf2VWJ	Noobzaurs, Hissp, Monkeryz, gtoast99, Insertcleverphrasehere
X	1	Mono-Green (G)	Selvala Brostorm	https://tappedout.net/mtg-decks/selvala-brostorm/	Selvala, Heart of the Wilds	A fast and cheap combo deck with high variance, fat creatures, and big mana.	5	https://discord.gg/7Bj3wuS	asm, tw0handt0uch, frozeninfate, maynardferguson
X	2	Mono-Green (G)	Midrange Yisan	https://tappedout.net/mtg-decks/wanderers-song/	Yisan, the Wanderer Bard	An adaptive, efficient, and consistent green list which can combo midgame or grind late.	5	https://discord.gg/ukqBA8U	Shaper, Haplicity,  maynardferguson, infiniteimoc, buildingadeck
X	2	Selesnya (GW)	Paradox Sisay	https://tappedout.net/mtg-decks/sisay-staxcombo/	Captain Sisay	A Paradox Engine combo deck which can switch between fast combo and stax gameplans.	10	https://discord.gg/QPYtV8m	biopower, tw0handt0uch, Wedge
X	2	Golgari (BG)	Honorbru Meren	https://tappedout.net/mtg-decks/honorbru-meren-finite-hulk/	Meren of Clan Nel Toth	An adaptive list which is able to both combo early or lean back on stax into the lategame.	13	https://discord.gg/HmVqsSU	roguelikedev
X	1	Golgari (BG)	Gitrog Dredge	https://tappedout.net/mtg-decks/gitrog-land-combo/	The Gitrog Monster	A fast and resilient combo deck which uses Dakmor Salvage combos to save card slots.	13	https://discord.gg/2juKBHS	razzliox, Leptys
X	1	Golgari (BG)	Varolz Hulk	https://tappedout.net/mtg-decks/varolz-hulk/?cat=type&amp;sort=	Varolz, the Scar-Striped	A turbo-Hulk deck which uses Varolz's sacrifice and to-battlefield tutors to use Hulk.	13	https://discord.gg/NA4eTrr	Sickrobot
X	1	Simic (GU)	Edric Turns	http://tappedout.net/mtg-decks/a-song-of-turns-and-dongers-cedh/	Edric, Spymaster of Trest	A deck based around playing small creatures with evasion and chaining extra turns.	15	https://discord.gg/XvASnbc	Allergymeds, Chemtails, Monkeryz, maynardferguson
X	1	Simic (GU)	Momir Hackball	https://tappedout.net/mtg-decks/hackball-momir-vig-primer-wip/	Momir Vig, Simic Visionary	"A ramp-heavy combo list which uses ""hacks"" to chain green creatures and combo."	15	https://discord.gg/K7AUzH4	AverageDragon, Sickrobot
X	3	Simic (GU)	Rashmi Control	http://tappedout.net/mtg-decks/infinite-eternities-that-also-last-a-long-time/	Rashmi, Eternities Crafter	A draw-go control list which uses Rashmi to generate card advantage for counterspells.	15	https://discord.gg/UQbRkHz	asm, BigLupu, infiniteimoc, neosloth, soos, maynardferguson
X	1	Esper (WUB)	Doomsday Zur	https://tappedout.net/mtg-decks/12-05-17-AKL-zur-doomsday/	Zur the Enchanter	A Doomsday Storm list which is incredibly resilient thanks to Angel's Grace + Ad Naus.	16	https://discord.gg/3r8uheX	Skuloth, Sleepy, Shaper, asm
X	1	Esper (WUB)	Shimmer Zur	https://tappedout.net/mtg-decks/ad-nauseam-doomsday-zur-2/	Zur the Enchanter	A Doomsday Storm Zur which also plays Shimmer Myr to open up end step Necropotences.	16	https://discord.gg/UDgq2QF	Bolsheviktory, Dandelion
	2	Esper (WUB)	Zuran Consultation	http://tappedout.net/mtg-decks/zuran-consultation/	Zur the Enchanter	A more interactive Zur list which runs Labman/Consultation with supplementing storm.	16	https://discord.gg/UDgq2QF	Sugandaraja
	1	Grixis (UBR)	Jeleva Storm	https://tappedout.net/mtg-decks/jeleva-slim/	Jeleva, Nephalia's Scourge	A Grixis Ad Naus/Doomsday storm list which uses Jeleva as a card advantage engine.	17	https://discord.gg/6v7wkPT	Reversemermaid
